id,value
1,-1
1,-8
1,-6
1,-1
1,-5
1,3
1,185
1,11
1,274
1,111
1,36
1,9
1,62
1,4
1,-124
1,-17
1,-305
1,-42
1,-81
1,115
1,-218
1,59
1,65
1,-34
1,-42
1,16
1,-56
1,118
1,-126
1,-86
1,-22
1,206
1,-211
1,13
1,30
1,-4
1,7
1,4
1,13
1,10
1,9
1,1
1,-18
1,101
1,40
1,39
1,14
1,-10
1,-34
1,-7
1,-17
1,-77
1,44
1,-34
1,-2
1,-21
1,-7
1,-14
1,-7
1,-2
1,-4
1,-4
1,33
1,-7
1,-3
1,-4
1,-2
1,-22
1,-3
1,-5
1,-8
1,-6
1,-7
1,-5
1,1
1,-1
1,-1
1,-2
1,-1
1,157
1,124
1,512
1,-12
1,-47
1,23
1,-39
1,23
1,-2
1,-91
1,-63
1,-16
1,26
1,-289
1,-116
1,-212
1,-25
1,3
1,-16
1,7
1,6
1,-11
1,24
1,3
1,91
1,-25
1,18
1,128
1,-30
1,-9
1,-42
1,-12
1,-4
1,-2
1,3
1,6
1,-3
1,-3
1,9
1,12
1,2
1,2
1,8
1,6
1,-2
1,4
1,2
1,-6
1,5
1,8
1,-3
1,9
1,8
1,2
1,4
1,13
1,12
1,2
1,-1
1,13
1,11
1,3
1,4
1,16
1,17
1,2
1,6
1,15
1,12
1,-1
1,-1
1,4
1,-5
1,-2
1,-4
1,-6
1,3
1,406
1,-131
1,80
1,-89
1,218
1,-43
1,13
1,9
1,-219
1,255
1,-69
1,91
1,-422
1,76
1,-235
1,72
1,93
1,-31
1,153
1,-130
1,-84
1,57
1,-125
1,183
1,1
1,97
1,-127
1,200
1,-19
1,1
1,1
1,4
1,1
1,-2
1,-15
1,-48
1,38
1,31
1,88
1,58
1,26
1,20
1,20
1,8
1,15
1,18
1,-2
1,3
1,17
1,20
1,-2
1,-1
1,10
1,13
1,-9
1,1
1,8
1,3
1,-4
1,-6
1,8
1,3
1,5
1,-6
1,4
1,3
1,16
1,12
1,1
1,-17
1,-15
1,-6
1,8
1,-25
1,-23
1,-13
1,4
1,-8
1,2
1,-10
1,-99
1,-32
1,-86
1,28
1,10
1,53
1,-22
1,18
1,-51
1,20
1,-70
1,-42
1,11
1,30
1,-3
1,33
1,-75
1,-39
1,77
1,-45
1,171
1,-40
1,-53
1,-67
1,263
1,15
1,66
1,3
1,-1
1,17
1,10
1,-26
1,-69
1,-41
1,-66
1,106
1,43
1,114
1,39
1,20
1,15
1,8
1,14
1,-1
1,14
1,-7
1,4
1,-9
1,2
1,-17
1,1
1,-9
1,1
1,-7
1,6
1,-1
1,-5
1,16
1,-15
1,13
1,-21
1,22
1,-19
1,-6
1,2
1,17
1,68
1,-30
1,-1
1,-19
1,5
1,-19
1,-7
1,-4
1,4
1,-52
1,-75
1,-61
1,-71
1,46
1,-31
1,51
1,135
1,92
1,-84
1,49
1,-31
1,26
1,-37
1,48
1,-35
1,50
1,17
1,93
1,-28
1,-19
1,8
1,-35
1,260
1,-57
1,141
1,24
1,-89
1,13
1,-80
1,8
1,-19
1,-28
1,14
1,-1
1,94
1,27
1,33
1,17
1,2
1,18
1,6
1,18
1,-14
1,37
1,-2
1,13
1,-20
1,5
1,-9
1,-9
1,-4
1,1
1,-6
1,5
1,8
1,-21
1,10
1,-17
1,22
1,-35
1,25
1,-31
1,-71
1,76
1,-107
1,33
1,68
1,-39
1,71
1,50
1,28
1,-33
1,62
1,-61
1,-4
1,31
1,54
1,-97
1,-70
1,-159
1,62
1,92
1,48
1,21
1,46
1,65
1,-48
1,39
1,31
1,-171
1,-67
1,-27
1,-96
1,-50
1,25
1,-31
1,-22
1,15
1,330
1,25
1,373
1,-125
1,8
1,-69
1,24
1,18
1,-46
1,13
1,-4
1,3
1,-48
1,7
1,-25
1,25
1,20
1,-30
1,15
1,-6
1,49
1,-10
1,45
1,-1
1,39
1,-2
1,20
1,-23
1,-16
1,-24
1,31
1,3
1,13
1,53
1,-482
1,-19
1,17
1,-18
1,310
1,31
1,-33
1,52
1,-19
1,-116
1,-44
1,-152
1,-33
1,20
1,71
1,8
1,50
1,61
1,-74
1,53
1,-68
1,11
1,54
1,13
1,-119
1,-151
1,20
1,7
1,1
1,25
1,-25
1,13
1,6
1,-1
1,74
1,24
1,-13
1,-33
1,-29
1,19
1,-5
1,-38
1,-29
1,-119
1,56
1,-5
1,213
1,11
1,131
